date,missing
1640,TRUE
1641,FALSE
1642,TRUE
1643,TRUE
1644,FALSE
1645,FALSE
1646,FALSE
1647,TRUE
1648,FALSE
1649,TRUE
1650,TRUE
1651,TRUE
1652,TRUE
1653,TRUE
1654,TRUE
1655,TRUE
1656,FALSE
1657,FALSE
1658,TRUE
1659,FALSE
1660,TRUE
1661,TRUE
1662,FALSE
1663,FALSE
1664,FALSE
1665,FALSE
1666,TRUE
1667,TRUE
1668,FALSE
1669,TRUE
1670,FALSE
1671,FALSE
1672,FALSE
1673,FALSE
1674,FALSE
1675,FALSE
1676,FALSE
1677,FALSE
1678,FALSE
1679,FALSE
1680,FALSE
1681,FALSE
1682,FALSE
1683,FALSE
1684,FALSE
1685,FALSE
1686,FALSE
1687,FALSE
1688,FALSE
